Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Job Security,Work Life Balance,Work Satisfaction,Promotions
TCS,IT Services & Consulting,Bangalore,440,2100,110000,3.3,High,Medium,Low,Low
Accenture,IT Services & Consulting,Bangalore,256,40600,71300,3.7,Medium,Medium,Low,Low
Wipro,IT Services & Consulting,Hyderabad,371,6900,63500,3.6,Medium,Medium,Low,Low
Cognizant,IT Services & Consulting,Hyderabad,230,709,59800,3.6,Medium,Medium,Low,Low
Capgemini,IT Services & Consulting,Bangalore,184,1900,51400,3.7,High,High,Medium,Low
HDFC Bank,Banking,Mumbai,1824,247,50600,3.8,High,Medium,Medium,Low
Infosys,IT Services & Consulting,Bangalore,247,2600,47300,3.5,High,Medium,Low,Low
ICICI Bank,Banking,Mumbai,1438,22,45100,4.0,High,Medium,Medium,High
HCLTech,IT Services & Consulting,Chennai,229,220,44400,3.4,Medium,Medium,Low,Low
Tech Mahindra,IT Services & Consulting,Hyderabad,333,472,42400,3.4,Medium,Medium,Low,Low
Genpact,IT Services & Consulting,Hyderabad,182,1400,40900,3.6,High,Medium,Low,Low
Teleperformance,BPO,Mumbai,256,1400,36600,3.8,Medium,Medium,Medium,Medium
Jio,Telecom,Mumbai,1904,3,32400,4.4,High,High,Medium,Medium
Axis Bank,Banking,Mumbai,1503,186,32299,3.6,Medium,Medium,Low,Low
Concentrix Corporation,BPO,Bangalore,177,71,31500,3.6,High,Medium,Low,Low
Amazon,Internet,Bangalore,520,1600,30700,3.9,Medium,High,Medium,Low
iEnergizer,BPO,Noida,52,61,27100,4.6,High,Medium,Medium,Medium
Reliance Retail,Retail,Mumbai,1156,157,26900,3.9,High,High,Medium,Low
LTIMindtree,IT Services & Consulting,Bangalore,147,495,25800,3.6,Medium,Medium,Low,Low
IBM,IT Services & Consulting,Bangalore,161,2100,25300,3.9,High,High,Medium,Low
HDB Financial Services,NBFC,Mumbai,1093,226,25100,3.9,High,Medium,Medium,Low
Larsen & Toubro Limited,Engineering & Construction,Chennai,760,190,23200,3.9,High,Low,Medium,Low
Deloitte,Management Consulting,Hyderabad,188,1700,22400,3.7,High,Low,Low,Low
Kotak Mahindra Bank,Banking,Mumbai,684,107,21900,3.6,Medium,Medium,Low,Low
Reliance Industries,Oil & Gas,Jamnagar,814,49,19700,4.0,High,High,Medium,Low
Vodafone Idea,Telecom,Pune,704,43,17500,3.9,Medium,High,Medium,Low
Bharti Airtel,Telecom,Gurgaon,789,140,16800,3.8,Medium,Medium,Medium,Low
BYJU'S,EdTech,Bangalore,322,0,16400,3.2,Low,Low,Medium,Medium
WNS,IT Services & Consulting,Pune,66,100,14800,3.3,Medium,Medium,Medium,Low
IDFC FIRST Bank,Banking,Mumbai,715,26,14000,3.9,Medium,High,Medium,Medium
Tata Motors,Automobile,Pune,507,183,14000,4.1,High,High,Medium,Low
Ernst & Young,Management Consulting,Bangalore,134,3700,14000,3.4,Medium,Low,Low,Low
IndusInd Bank,Banking,Mumbai,789,116,13800,3.4,Medium,Medium,Low,Low
AU Small Finance Bank,Banking,Jaipur,786,51,13800,3.9,Medium,Medium,Medium,Medium
Bajaj Finserv,NBFC,Pune,1168,7,12600,3.9,High,Medium,Medium,Medium
Flipkart,Internet,Bangalore,558,173,12600,3.9,Medium,Medium,Medium,Low
Muthoot FinCorp,NBFC,Bangalore,1099,49,12300,4.5,High,High,Medium,Medium
PwC,Management Consulting,Bangalore,133,828,12000,3.3,Medium,Low,Low,Low
Mahindra & Mahindra,Automobile,Pune,562,1,11800,4.0,High,Medium,Medium,Low
DXC Technology,IT Services & Consulting,Bangalore,133,206,11800,3.6,Medium,High,Low,Low
Infosys BPM,BPO,Bangalore,96,80,11700,3.5,High,Medium,Low,Low
HDFC Life,Insurance,Mumbai,701,132,11700,3.9,High,Medium,Medium,Medium
Bandhan Bank,Banking,Kolkata,998,14,10700,3.7,Medium,Medium,Low,Low
Conneqt Business Solutions,BPO,Hyderabad,267,350,10100,3.5,Medium,Medium,Low,Low
