Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Highly Rated,Critically Rated
TCS,IT Services & Consulting ,Bangalore,440.0,2.1k,1.1L,3.3,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,IT Services & Consulting ,Bangalore,256.0,40.6k,71.3k,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Wipro,IT Services & Consulting ,Hyderabad,371.0,6.9k,63.5k,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Cognizant,IT Services & Consulting ,Hyderabad,230.0,709,59.8k,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Capgemini,IT Services & Consulting ,Bangalore,184.0,1.9k,51.4k,3.7,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,Banking ,Mumbai,1824.0,247,50.6k,3.8,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Infosys,IT Services & Consulting ,Bangalore,247.0,2.6k,47.3k,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,Banking ,Mumbai,1438.0,22,45.1k,4.0,"Job Security, Promotions / Appraisal, Skill Development / Learning",
HCLTech,IT Services & Consulting ,Chennai,229.0,220,44.4k,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,IT Services & Consulting ,Hyderabad,333.0,472,42.4k,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,IT Services & Consulting ,Hyderabad,182.0,1.4k,40.9k,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Teleperformance,BPO ,Mumbai,256.0,1.4k,36.6k,3.8,,
Jio,Telecom ,Mumbai,1904.0,3,32.4k,4.4,"Job Security, Company Culture, Work Life Balance",
Axis Bank,Banking ,Mumbai,1503.0,186,32.3k,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Concentrix Corporation,BPO ,Bangalore,177.0,71,31.5k,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amazon,Internet ,Bangalore,520.0,1.6k,30.7k,3.9,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
iEnergizer,BPO ,Noida,52.0,61,27.1k,4.6,"Company Culture, Job Security, Skill Development / Learning",
Reliance Retail,Retail ,Mumbai,1156.0,157,26.9k,3.9,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
LTIMindtree,IT Services & Consulting ,Bangalore,147.0,495,25.8k,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IBM,IT Services & Consulting ,Bangalore,161.0,2.1k,25.3k,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
HDB Financial Services,NBFC ,Mumbai,1093.0,226,25.1k,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
